"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FOODAID","TOT","MLN_USD","A","1996",25.065,
"AUS","FOODAID","TOT","MLN_USD","A","1997",27.974,
"AUS","FOODAID","TOT","MLN_USD","A","1998",54.848,
"AUS","FOODAID","TOT","MLN_USD","A","1999",37.667,
"AUS","FOODAID","TOT","MLN_USD","A","2000",45.683,
"AUS","FOODAID","TOT","MLN_USD","A","2001",17.915,
"AUS","FOODAID","TOT","MLN_USD","A","2002",30.557,
"AUS","FOODAID","TOT","MLN_USD","A","2003",28.148,
"AUS","FOODAID","TOT","MLN_USD","A","2004",16.444,
"AUS","FOODAID","TOT","MLN_USD","A","2005",14.093,
"AUS","FOODAID","TOT","MLN_USD","A","2006",50.814,
"AUS","FOODAID","TOT","MLN_USD","A","2007",4.019,
"AUS","FOODAID","TOT","MLN_USD","A","2008",81.567,
"AUS","FOODAID","TOT","MLN_USD","A","2009",83.569,
"AUS","FOODAID","TOT","MLN_USD","A","2010",32.943,
"AUS","FOODAID","TOT","MLN_USD","A","2011",54.19,
"AUS","FOODAID","TOT","MLN_USD","A","2012",33.843,
"AUS","FOODAID","TOT","MLN_USD","A","2013",16.786,
"AUS","FOODAID","TOT","MLN_USD","A","2014",27.362,
"AUS","FOODAID","TOT","MLN_USD","A","2015",3.69,
"AUT","FOODAID","TOT","MLN_USD","A","1995",0.486,
"AUT","FOODAID","TOT","MLN_USD","A","1996",0.092,
"AUT","FOODAID","TOT","MLN_USD","A","1997",0.72,
"AUT","FOODAID","TOT","MLN_USD","A","1998",0.674,
"AUT","FOODAID","TOT","MLN_USD","A","1999",1.651,
"AUT","FOODAID","TOT","MLN_USD","A","2000",0.22,
"AUT","FOODAID","TOT","MLN_USD","A","2001",0.016,
"AUT","FOODAID","TOT","MLN_USD","A","2002",0.015,
"AUT","FOODAID","TOT","MLN_USD","A","2004",0.131,
"AUT","FOODAID","TOT","MLN_USD","A","2005",2.817,
"AUT","FOODAID","TOT","MLN_USD","A","2006",1.182,
"AUT","FOODAID","TOT","MLN_USD","A","2007",1.878,
"AUT","FOODAID","TOT","MLN_USD","A","2008",2.8,
"AUT","FOODAID","TOT","MLN_USD","A","2009",2.009,
"AUT","FOODAID","TOT","MLN_USD","A","2010",1.568,
"AUT","FOODAID","TOT","MLN_USD","A","2011",1.74,
"AUT","FOODAID","TOT","MLN_USD","A","2012",2.127,
"AUT","FOODAID","TOT","MLN_USD","A","2013",1.378,
"AUT","FOODAID","TOT","MLN_USD","A","2014",1.091,
"AUT","FOODAID","TOT","MLN_USD","A","2015",7.46,
"BEL","FOODAID","TOT","MLN_USD","A","1995",0.399,
"BEL","FOODAID","TOT","MLN_USD","A","1996",3.924,
"BEL","FOODAID","TOT","MLN_USD","A","1997",12.765,
"BEL","FOODAID","TOT","MLN_USD","A","1998",0.634,
"BEL","FOODAID","TOT","MLN_USD","A","1999",13.33,
"BEL","FOODAID","TOT","MLN_USD","A","2001",1.737,
"BEL","FOODAID","TOT","MLN_USD","A","2002",5.528,
"BEL","FOODAID","TOT","MLN_USD","A","2003",7.477,
"BEL","FOODAID","TOT","MLN_USD","A","2004",16.919,
"BEL","FOODAID","TOT","MLN_USD","A","2005",22.636,
"BEL","FOODAID","TOT","MLN_USD","A","2006",20.835,
"BEL","FOODAID","TOT","MLN_USD","A","2007",19.572,
"BEL","FOODAID","TOT","MLN_USD","A","2008",32.552,
"BEL","FOODAID","TOT","MLN_USD","A","2009",50.558,
"BEL","FOODAID","TOT","MLN_USD","A","2010",56.34,
"BEL","FOODAID","TOT","MLN_USD","A","2011",63.813,
"BEL","FOODAID","TOT","MLN_USD","A","2012",15.413,
"BEL","FOODAID","TOT","MLN_USD","A","2013",52.263,
"BEL","FOODAID","TOT","MLN_USD","A","2014",18.308,
"BEL","FOODAID","TOT","MLN_USD","A","2015",53.61,
"CAN","FOODAID","TOT","MLN_USD","A","2004",76.989,
"CAN","FOODAID","TOT","MLN_USD","A","2005",137.082,
"CAN","FOODAID","TOT","MLN_USD","A","2006",118.161,
"CAN","FOODAID","TOT","MLN_USD","A","2007",109.477,
"CAN","FOODAID","TOT","MLN_USD","A","2008",147.755,
"CAN","FOODAID","TOT","MLN_USD","A","2009",149.696,
"CAN","FOODAID","TOT","MLN_USD","A","2010",122.235,
"CAN","FOODAID","TOT","MLN_USD","A","2011",144.475,
"CAN","FOODAID","TOT","MLN_USD","A","2012",188.844,
"CAN","FOODAID","TOT","MLN_USD","A","2013",182.932,
"CAN","FOODAID","TOT","MLN_USD","A","2014",178.311,
"CAN","FOODAID","TOT","MLN_USD","A","2015",191.46,
"CZE","FOODAID","TOT","MLN_USD","A","2002",0.305,
"CZE","FOODAID","TOT","MLN_USD","A","2004",0.204,
"CZE","FOODAID","TOT","MLN_USD","A","2005",0.235,
"CZE","FOODAID","TOT","MLN_USD","A","2009",0.235,
"CZE","FOODAID","TOT","MLN_USD","A","2011",0.429,
"CZE","FOODAID","TOT","MLN_USD","A","2012",0.512,
"CZE","FOODAID","TOT","MLN_USD","A","2013",0.274,
"CZE","FOODAID","TOT","MLN_USD","A","2014",0.119,
"CZE","FOODAID","TOT","MLN_USD","A","2015",1.33,
"DNK","FOODAID","TOT","MLN_USD","A","2003",0.196,
"DNK","FOODAID","TOT","MLN_USD","A","2004",0.011,
"DNK","FOODAID","TOT","MLN_USD","A","2005",9.423,
"DNK","FOODAID","TOT","MLN_USD","A","2006",11.124,
"DNK","FOODAID","TOT","MLN_USD","A","2007",6.942,
"DNK","FOODAID","TOT","MLN_USD","A","2008",16.248,
"DNK","FOODAID","TOT","MLN_USD","A","2009",1.11,
"DNK","FOODAID","TOT","MLN_USD","A","2011",3.965,
"DNK","FOODAID","TOT","MLN_USD","A","2012",0.568,
"DNK","FOODAID","TOT","MLN_USD","A","2013",0.01,
